"Family Starter Grocery Pack","Avocados - 3"
"Family Starter Grocery Pack","Shallot - 1"
"Family Starter Grocery Pack","White onion - 2"
"Family Starter Grocery Pack","Asparagus - 1 bunch"
"Family Starter Grocery Pack","Mixed Greens - 1 container"
"Family Starter Grocery Pack","Bananas - 1 bunch"
"Family Starter Grocery Pack","Apples - 5"
"Family Starter Grocery Pack","Lemons - 5"
"Family Starter Grocery Pack","Limes - 5"
"Family Starter Grocery Pack","Tomatoes (Heirloom) - 3"
"Family Starter Grocery Pack","Green Grapes - 1 container"
"Family Starter Grocery Pack","Plain Yogurt - 1 quart"
"Family Starter Grocery Pack","Unsalted Butter - 4 sticks"
"Family Starter Grocery Pack","Brown Eggs - 2 dozen"
"Family Starter Grocery Pack","Whole Milk - 1 gallon"
"Family Starter Grocery Pack","Shredded Cheddar Cheese - 1 bag"
"Family Starter Grocery Pack","Orange Juice - 1 gallon"
"Family Starter Grocery Pack","Sliced Turkey (Boars Head) - 2 LBS"
"Family Starter Grocery Pack","Thick-cut bacon - 1 pack"
"Family Starter Grocery Pack","Hotdogs - 1 pack"
"Family Starter Grocery Pack","Chicken breast - 3 pack"
"Family Starter Grocery Pack","Ground beef - 3 lb"
"Family Starter Grocery Pack","American cheese (Boars Head) - 1 lb"
"Family Starter Grocery Pack","Heinz ketchup - 1 bottle"
"Family Starter Grocery Pack","Hamburger rolls - 6 8 count"
"Family Starter Grocery Pack","Taco shells - 12 count"
"Family Starter Grocery Pack","Salsa (medium) - 1 jar"
"Family Starter Grocery Pack","Tostitos chips (scoops) - 1 bag"
"Family Starter Grocery Pack","Sour cream (Hood) - 8 oz"
"Family Starter Grocery Pack","Granola (Bear Naked) - 2 bags"
"Family Starter Grocery Pack","Spaghetti - 2 boxes"
"Family Starter Grocery Pack","Marinara sauce - 1 jar"
"Family Starter Grocery Pack","Ground coffee - 1 bag"
"Family Starter Grocery Pack","Mayonnaise - 1 jar"
"Family Starter Grocery Pack","Portuguese bread - 2 loaves"
"Family Starter Grocery Pack","Olive oil (EVO) - 1 jar"
"Family Starter Grocery Pack","Salt & Pepper shakers - 1 set"
"Family Starter Grocery Pack","Ziploc bags - 1 gallon"
"Family Starter Grocery Pack","Ziploc bags - 1 quart"
"Family Starter Grocery Pack","Tates cookies - 2 bags"
"Family Starter Grocery Pack","Cape Cod chips (regular) - 1 bag"
"Family Starter Grocery Pack","Bottled Water - 24 pack"
"Family Starter Grocery Pack","Firewood - 1 bundle"
"Family Starter Grocery Pack","Ice - 2 bags"
"Kid Essentials","Stonyfield Yogurt Cups - 6 pack"
"Kid Essentials","String cheese - 1 bag"
"Kid Essentials","Mexican shredded cheese - 1 bag"
"Kid Essentials","Organic whole milk - 1 carton"
"Kid Essentials","Eggo waffles - 1 box"
"Kid Essentials","Orange Juice - 1 carton"
"Kid Essentials","Frozen broccoli - 1 bag"
"Kid Essentials","Frozen peas - 1 bag"
"Kid Essentials","Applegate hotdogs - 1 pack"
"Kid Essentials","Nelly's eggs - 1 dozen"
"Kid Essentials","Boars head turkey (thinly sliced) - 1 lb"
"Kid Essentials","Boars head ham (thinly sliced) - 1 lb"
"Kid Essentials","Dr Praeger's sweet potato littles - 1 box"
"Kid Essentials","Plant-based chicken nuggets - 1 box"
"Kid Essentials","Lean ground beef - 1 lb"
"Kid Essentials","Nature's Promise chicken breast - 3 pack"
"Kid Essentials","Kids Yogurt Pouches - 4 pack"
"Kid Essentials","Cheerios - 1 box"
"Kid Essentials","Kids Z Bars - 12 pack"
"Kid Essentials","Pirates Booty - 1 bag"
"Kid Essentials","Cheddar goldfish - 1 Box"
"Kid Essentials","Annie's white cheddar mac n' cheese - 3 pack"
"Kid Essentials","Smartfood white cheddar popcorn - 1 bag"
"Kid Essentials","Quaker cheddar rice chips - 1 bag"
"Kid Essentials","Organic animal crackers - 1 box"
"Kid Essentials","Tiny twist pretzels - 1 bag"
"Kid Essentials","Graham Crackers - 1 box"
"Kid Essentials","Hershey's Chocolate - 6 pack"
"Kid Essentials","Marshmallows - 1 bag"
"Kid Essentials","Roasting skewers - 1 bag"
"Kid Essentials","GoGo SqueeZ Applesauce Pouches - 6 pack"
"S'mores kit","Marshmallows - 1 bag"
"S'mores kit","Graham crackers - 1 box"
"S'mores kit","Hershey's chocolate - 6 pack"
"S'mores kit","Roasting skewers - 1 pack"
"S'mores kit","Firewood - 1 bundle"
"Ladies Weekend","Bananas - 2 bunches"
"Ladies Weekend","Raspberries - 2 boxes"
"Ladies Weekend","Blackberries - 2 boxes"
"Ladies Weekend","Strawberries - 2 boxes"
"Ladies Weekend","Baby carrots - 1 bag"
"Ladies Weekend","Cherry tomatoes - 1 box"
"Ladies Weekend","Assorted apples - 6"
"Ladies Weekend","Lemons - 6"
"Ladies Weekend","Limes - 6"
"Ladies Weekend","Green grapes - 1 box"
"Ladies Weekend","Red grapes - 1 box"
"Ladies Weekend","Baby Spinach - 1 carton"
"Ladies Weekend","Mixed Greens - 1 carton"
"Ladies Weekend","Cucumber - 3 large"
"Ladies Weekend","Red Bell Pepper - 1 large"
"Ladies Weekend","Green Bell Pepper - 1 large"
"Ladies Weekend","Asparagus - 2 bunch"
"Ladies Weekend","Avocado - 6 ripe"
"Ladies Weekend","Broccoli - 2 heads"
"Ladies Weekend","Mozzarella/Taco Mix Shredded Cheese - 2 bags"
"Ladies Weekend","Chobani Greek Yogurt - 1 tub"
"Ladies Weekend","Nelly's Eggs - 2 dozen"
"Ladies Weekend","Unsweetened Vanilla Almond Milk - 1 carton"
"Ladies Weekend","French Vanilla Coffee Creamer - 1 carton"
"Ladies Weekend","Cream Cheese - 1 tub"
"Ladies Weekend","Oat milk - 1 carton"
"Ladies Weekend","Orange juice - 1 carton"
"Ladies Weekend","Starbucks medium roast cold brew - 2 cartons"
"Ladies Weekend","Unsalted butter - 1 tub"
"Ladies Weekend","Skinny pop - 1 large bag"
"Ladies Weekend","Stacy's pita chips - 1 large bag"
"Ladies Weekend","Almond butter - 1 jar"
"Ladies Weekend","Peanut butter - 1 jar"
"Ladies Weekend","Bear Naked granola - 2 bags"
"Ladies Weekend","Kind bars - 1 box"
"Ladies Weekend","Locally curated Ground coffee - 1 bag"
"Ladies Weekend","Special K Cereal - 1 box"
"Ladies Weekend","Whole wheat bread - 1 loaf"
"Ladies Weekend","Bagels - 12 pack"
"Ladies Weekend","Something Natural Portuguese Bread - 1 loaf"
"Ladies Weekend","Balsamic dressing - 1 bottle"
"Ladies Weekend","Olive Oil - 1 bottle"
"Ladies Weekend","Lean ground beef - 2 lbs"
"Ladies Weekend","Organic chicken breast - 6 pack"
"Ladies Weekend","Sabra hummus - 1 tub"
"Ladies Weekend","Taco/Fajita Seasoning - 2 packs"
"Ladies Weekend","Brown rice - 1 bag"
"Ladies Weekend","Flour tortillas - 12 pack"
"Ladies Weekend","Halo top ice cream - 2 tubs"
"Ladies Weekend","Chia Seeds - 1 pack"
"Ladies Weekend","Spindrift - 12 pack"
"Guys Weekend","Bacon - 2 packs"
"Guys Weekend","Sausage - 1 pack"
"Guys Weekend","Bubba's Hamburgers - 1 pack"
"Guys Weekend","Hotdogs - 1 pack"
"Guys Weekend","Boars Head Turkey - 2 LBS"
"Guys Weekend","Boars Head Ham - 2 LBS"
"Guys Weekend","Eggs - 2 dozen"
"Guys Weekend","Butter - 4 pack"
"Guys Weekend","Whole Milk - 1 gallon"
"Guys Weekend","Oat Milk - 1 carton"
"Guys Weekend","Almond Milk - 1 carton"
"Guys Weekend","Whole Wheat Bread - 1 loaf"
"Guys Weekend","English Muffins - 1 pack"
"Guys Weekend","Hamburger Buns - 12 pack"
"Guys Weekend","Hot Dog Buns - 12 pack"
"Guys Weekend","Frozen Waffles - 1 box"
"Guys Weekend","Frozen Hash Browns - 1 box"
"Guys Weekend","Frozen Pepperoni Pizza - 1 pie"
"Guys Weekend","Frozen Cheese Pizza - 1 pie"
"Guys Weekend","Pancake Mix - 1 box"
"Guys Weekend","Maple Syrup - 1 bottle"
"Guys Weekend","Baking Soda - 1 can"
"Guys Weekend","Strawberries - 1 box"
"Guys Weekend","Raspberries - 1 box"
"Guys Weekend","Blackberries - 1 box"
"Guys Weekend","Blueberries - 1 box"
"Guys Weekend","Green Grapes - 1 box"
"Guys Weekend","Red Grapes - 1 box"
"Guys Weekend","Apples - 6"
"Guys Weekend","Carrots - 1 bag"
"Guys Weekend","Mixed Greens - 1 carton"
"Guys Weekend","Balsamic Dressing - 1 bottle"
"Guys Weekend","Olive Oil - 1 bottle"
"Guys Weekend","Chewy Granola Bars - 2 boxes"
"Guys Weekend","Peanut M&M's - 1 large bag"
"Guys Weekend","Buffalo Wings - 1 bag"
"Guys Weekend","Mozzarella Sticks - 1 box"
"Guys Weekend","Hummus - 1 tub"
"Guys Weekend","Doritos - 1 bag"
"Guys Weekend","Cape Cod Chips - 1 bag"
"Guys Weekend","Stacy's Pita Chips - 1 bag"
"Guys Weekend","Peanut Butter - 1 jar"
"Guys Weekend","Jelly - 1 jar"
"Guys Weekend","Mayonnaise - 1 tub"
"Guys Weekend","Ketchup - 1 bottle"
"Guys Weekend","Mustard - 1 bottle"
"Guys Weekend","Cholula - 1 bottle"
"Guys Weekend","Medium Chunky Salsa - 1 jar"
"Guys Weekend","Queso - 1 jar"
"Guys Weekend","Tortilla Chips - 2 bags"
"Guys Weekend","Bottled Water - 24 pack"
"Guys Weekend","Diet Coke - 12 pack"
"Guys Weekend","Coke - 12 pack"
"Guys Weekend","Polar Seltzers - 12 pack"
"Rockland & Camden Maine Breweries:","Blaze Brewing Company"
"Rockland & Camden Maine Breweries:","The Camden brewhouse"
"Rockland & Camden Maine Breweries:","Sea Dog Brewing Co."
"Rockland & Camden Maine Breweries:","Liberator Brewing Company"
"Rockland & Camden Maine Breweries:","Rock Harbor Brewing Co."
"Northern Mid Coast Maine Breweries:","Penobscot Bay Brewery"
"Northern Mid Coast Maine Breweries:","Tattooed Dad Brewing Co."
"Northern Mid Coast Maine Breweries:","Marshall Wharf Brewing Co."
"Northern Mid Coast Maine Breweries:","Threshers Brewing Co"
"Northern Mid Coast Maine Breweries:","Lake St. George Brewing Company"
"Central Mid-Coast Maine Breweries:","North Haven Brewing Co."
"Central Mid-Coast Maine Breweries:","The Pour Farm"
"Central Mid-Coast Maine Breweries:","Waterman's Beach Brewery"
"Central Mid-Coast Maine Breweries:","Odd Alewives Farm Brewery"
"Central Mid-Coast Maine Breweries:","Oxbow Brewing Company"
"Central Mid-Coast Maine Breweries:","Sheepscot Valley Brewing Company"
"Southern Mid Coast Maine Breweries:","Monhegan Brewing Company"
"Southern Mid Coast Maine Breweries:","Footbridge Brewer"
"Southern Mid Coast Maine Breweries:","Boothbay Craft Brewery"
"Southern Mid Coast Maine Breweries:","Sasanoa Brewing"
"Southern Mid Coast Maine Breweries:","Bath Ale Works"
"Southern Mid Coast Maine Breweries:","Bath Brewing Company"
"Southern Mid Coast Maine Breweries:","Trinken Brewing Co."
"Southern Mid Coast Maine Breweries:","Flight Deck Brewing"
"Southern Mid Coast Maine Breweries:","Black Pug Brewing"
"Southern Mid Coast Maine Breweries:","Moderation Brewing"
"Blueberry Lemonade kit","Triple 8 Blueberry Vodka - 1 bottle"
"Blueberry Lemonade kit","Lemonade - 1 bottle"
"Blueberry Lemonade kit","Fresh Mint - 1 box"
"Blueberry Lemonade kit","Ice - 1 bag"
"Clase Azul kit","Reposado - 750 ml"
"Clase Azul kit","Blanco - 750 ml"
"Clase Azul kit","Anejo - 750 ml"
"Clase Azul kit","Mezcal - 750 ml"
"Clase Azul kit","Reposado 25th Anniversary - 750 ml"
"Mimosa kit","Prosecco - 1 bottle"
"Mimosa kit","Orange juice - 1 bottle"
"Mimosa kit","Ice - 1 bag"
"Dark N' Stormy kit","Gosling's Black Seal Rum - 1 bottle"
"Dark N' Stormy kit","Ginger beer - 12 pack"
"Dark N' Stormy kit","Limes - 3"
"Dark N' Stormy kit","Ice - 1 bag"
"Margarita kit","Casamigos Blanco - 750 ml"
"Margarita kit","Kosher Salt - 1 box"
"Margarita kit","Agave - 1 bottle"
"Margarita kit","Organic Lime Juice - 1 bottle"
"Margarita kit","Ice - 1 bag"
"Margarita kit","Limes - 3"
